STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
COTTAGE GROVE FOOD MART,1898994,329883,4000,B,6307 S COTTAGE GROVE AVE,60637,WOODLAWN,42,20,17031420800,170314208001004,1182688.7923243400,1863317.5209174410,41.7801519592,-87.6057775241,"(41.7801519592, -87.6057775241)"
COUNTY FAIR FOODS,37096,15344,10001,A,10800 S WESTERN AVE,60643,MORGAN PARK,75,19,17031750300,170317503001022,1162271.3113898507,1832938.9872909180,41.6972382088,-87.6814748042,"(41.6972382088, -87.6814748042)"
CRESPO'S FOOD MART,40132,15902,2800,B,4353 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170312606001001,1147155.4164315423,1899613.7335463510,41.8805049950,-87.7351228503,"(41.880504995, -87.7351228503)"
CUENCA'S BAKERY & GROCERIES,1619464,292181,4500,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,170311603003002,1147271.2214136072,1928863.7077261591,41.9607675196,-87.7339469271,"(41.9607675196, -87.7339469271)"
CUPBOARD FOOD & LIQUOR,7110,3758,3000,B,3260 W 55TH ST,60632,GAGE PARK,63,14,17031630300,170316303002035,1155332.3188848240,1867998.7006957629,41.7935891795,-87.7059457835,"(41.7935891795, -87.7059457835)"
D & A FOOD & LIQUOR,46444,7945,5500,B,1601 W GARFIELD BLVD,60636,WEST ENGLEWOOD,67,15,17031670300,170316703002005,1166596.8163275600,1868070.9267543333,41.7935543630,-87.6646375512,"(41.793554363, -87.6646375512)"
DANNY'S FRESH MARKET,1888080,326926,14405,A,2140 N WESTERN AVE,60647,LOGAN SQUARE,22,1,17031221500,170312215001018,1159966.2941524496,1914498.8393695618,41.9210962680,-87.6876710129,"(41.921096268, -87.6876710129)"
DEVON MARKET,1042888,201952,18500,A,1440 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310106003012,1165344.9554057203,1942648.8500748195,41.9982282538,-87.6671044665,"(41.9982282538, -87.6671044665)"
DIA FOOD & LIQUOR,41854,16133,4500,B,1478 W 115TH ST,60643,MORGAN PARK,75,34,17031750600,170317506004046,1168245.9445753116,1828509.1381748826,41.6849557984,-87.6597258290,"(41.6849557984, -87.659725829)"
DILILAH GROCERY,1986580,346168,3125,B,1759 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108003012,1164727.4868203881,1890072.1725878370,41.8539678804,-87.6708701882,"(41.8539678804, -87.6708701882)"
DISCOUNT MEAT COMPANY,13820,6377,4160,B,339 W 79TH ST,60620,CHATHAM,44,17,17031842400,170318424002003,1175247.3682053008,1852518.3935411572,41.7506874405,-87.6333809292,"(41.7506874405, -87.6333809292)"
DISCOUNT PANTRY CORPORATION,32952,14616,3600,B,4153 W 63RD ST,60629,WEST LAWN,65,13,17031650301,170316503013003,1149540.4794842748,1862455.9059796464,41.7784929073,-87.7273275190,"(41.7784929073, -87.727327519)"
DOLLAR & LINEN,1875260,46290,5800,B,1853 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711300,170317113001005,1165310.5838773092,1846937.6333308762,41.7355890742,-87.6699517263,"(41.7355890742, -87.6699517263)"
DOLLAR DEALS & UP,1276566,252997,2500,B,2057 N PULASKI RD,60639,HERMOSA,20,30,17031200402,170312004021000,1149414.1088377142,1913618.2300782797,41.9188912639,-87.7264653150,"(41.9188912639, -87.726465315)"
DOMINICK'S,1969836,5033,59488,A,6623 N DAMEN AVE,60645,WEST RIDGE,2,50,17031020500,170310205003006,1161793.5383075199,1944077.4209980017,42.0022233751,-87.6801288280,"(42.0022233751, -87.680128828)"
DOMINICK'S # 1100,41629,5033,10001,A,3145 S ASHLAND AVE,60608,MCKINLEY PARK,59,11,17031840400,170318404001032,1166221.8718805332,1883706.5913302058,41.8364683477,-87.6655669021,"(41.8364683477, -87.6655669021)"
DOMINICK'S # 113/1113,41633,5033,10001,A,6312 N NAGLE AVE,60646,NORWOOD PARK,10,41,17031100200,170311002002001,1132586.7487749453,1941599.6411018074,41.9959852861,-87.7876371171,"(41.9959852861, -87.7876371171)"
DOMINICK'S # 12/0012,41645,5033,10001,A,6009 N BROADWAY,60660,EDGEWATER,77,48,17031030101,170310301011003,1167254.1386252292,1940095.8362018457,41.9911817534,-87.6601550832,"(41.9911817534, -87.6601550832)"
DOMINICK'S # 130/1130,41657,5033,10001,A,2101 E 71ST ST,60649,SOUTH SHORE,43,5,17031430600,170314306001008,1191459.6594881737,1858232.4496476043,41.7659900011,-87.5737873367,"(41.7659900011, -87.5737873367)"
DOMINICK'S # 304/2304,41617,5033,10001,A,2550 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170310707002005,1163869.5712554473,1916997.6875486716,41.9278717231,-87.6732588146,"(41.9278717231, -87.6732588146)"
DOMINICK'S # 86/1086,41625,5033,10001,A,3350 N WESTERN AVE,60618,NORTH CENTER,5,47,17031843700,170318437001022,1159720.9795570998,1922387.0811091680,41.9427471952,-87.6883543215,"(41.9427471952, -87.6883543215)"
DOMINICK'S #147/1147,41674,5033,68000,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002092,1173296.1226284578,1893985.7049883392,41.8645211937,-87.6393040996,"(41.8645211937, -87.6393040996)"
DOMINICK'S #153/2153,41678,5033,68000,A,424 W DIVISION ST,60610,NEAR NORTH SIDE,8,27,17031080400,170310804002003,1173143.8849041462,1908329.1807673164,41.9038839611,-87.6394372016,"(41.9038839611, -87.6394372016)"
DOMINICK'S #160/1698,41689,5033,72000,A,1763 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,170310102021001,1163123.8579016312,1950306.6460658691,42.0192885501,-87.6750585094,"(42.0192885501, -87.6750585094)"
Dominick's #1703,1574461,5033,49320,A,255 E GRAND AVE,60611,NEAR NORTH SIDE,8,42,17031081403,170310814031010,1178351.1702400555,1903928.0332534548,41.8916898398,-87.6204441348,"(41.8916898398, -87.6204441348)"
DOMINICK'S #1875,1273445,5033,39000,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,17031280100,170312801001038,1171090.9679868314,1900270.4540166913,41.8818156316,-87.6472147170,"(41.8818156316, -87.647214717)"
DOMINICKS #2889,2042084,5033,48735,A,5233 N LINCOLN AVE,60625,LINCOLN SQUARE,4,40,17031040202,170310402022002,1158559.9659015764,1934822.6932261963,41.9768950984,-87.6922796678,"(41.9768950984, -87.6922796678)"
DOMINICKS #2890,2042094,5033,55129,A,5201 N SHERIDAN RD,60640,EDGEWATER,77,48,17031030706,170310307061008,1168741.5516419634,1934750.4471296660,41.9764816676,-87.6548397772,"(41.9764816676, -87.6548397772)"
DOMINICK'S FINER FOODS - STORE # 2775,1820382,5033,54963,A,2021 W CHICAGO AVE,60622,WEST TOWN,24,1,17031243000,170312430001000,1162687.5443539885,1905295.5903337188,41.8957852296,-87.6779308926,"(41.8957852296, -87.6779308926)"
"DOMINICK'S Finer Foods, Inc. #1695",41682,5033,26819,A,959 W FULLERTON AVE,60614,LINCOLN PARK,7,43,17031071100,170310711002000,1169257.2758050784,1916091.0246554958,41.9252682757,-87.6534875641,"(41.9252682757, -87.6534875641)"
E.M. GROCERIES,4863,3289,4500,B,5358 S CARPENTER ST,60609,NEW CITY,61,16,17031612000,170316120002009,1170189.6270939496,1869037.3793131497,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
EDDIE & SON FOOD &LIQ.,4146,3169,2500,B,3624 W NORTH AVE,60647,HUMBOLDT PARK,23,26,17031230400,170312307001000,1151856.6139789422,1910429.2636390037,41.9100926711,-87.7175753532,"(41.9100926711, -87.7175753532)"
EDDIE'S FOOD MART,50432,17311,4500,B,1858 W 63RD ST,60636,WEST ENGLEWOOD,67,15,17031670600,170316706002016,1164782.2873847398,1862921.1125592643,41.7794611564,-87.6714366715,"(41.7794611564, -87.6714366715)"
"EDDIE'S SUNSHINE FOOD & LIQUOR,  INC.",24217,63476,3000,B,10806 S MICHIGAN AVE,60628,ROSELAND,49,9,17031490901,170314909012011,1178782.2074476010,1833280.9974206788,41.6978179235,-87.6210110036,"(41.6978179235, -87.6210110036)"
EDDY'S FOOD MART,1879269,324962,4000,B,7575 N ROGERS AVE,60626,ROGERS PARK,1,49,17031010300,170310103002005,1164934.2794793440,1950275.4783167357,42.0191646250,-87.6683972880,"(42.019164625, -87.668397288)"
EDGEWATER PRODUCE,16765,6928,7400,B,5509 N CLARK ST,60640,EDGEWATER,77,48,17031030800,170310308001010,1165060.2677582440,1936722.1790277204,41.9819713770,-87.6683210323,"(41.981971377, -87.6683210323)"
EL  PASEO  BORICUA,1301216,254645,3000,B,2706 W DIVISION ST,60622,WEST TOWN,24,26,17031242600,170312426001013,1158083.1371978272,1907909.8300203527,41.9030542001,-87.6947704208,"(41.9030542001, -87.6947704208)"
EL BARRIO GROCERY,42681,16221,10001,A,3938 W NORTH AVE,60647,HUMBOLDT PARK,23,30,17031230400,170312307004007,1149716.5197041433,1910383.1571315070,41.9100080401,-87.7254384633,"(41.9100080401, -87.7254384633)"
EL MILAGRO,43513,2718,5500,B,3048 W 26TH ST,60623,SOUTH LAWNDALE,30,12,17031300900,170313009001012,1156243.4431393080,1886626.2709935060,41.8446873274,-87.7021029360,"(41.8446873274, -87.702102936)"
EL YUNQUE FOOD & LIQUOR,1986802,346323,2500,B,1900 N CALIFORNIA AVE,60647,LOGAN SQUARE,22,35,17031222500,170312225001000,1157361.3230799150,1912535.0955815718,41.9157610232,-87.6972958109,"(41.9157610232, -87.6972958109)"
EMILIO'S PRODUCE,1675623,298914,2500,B,2294 N MILWAUKEE AVE,60647,LOGAN SQUARE,22,1,17031221400,170312214002002,1157396.7805960944,1915026.7030165389,41.9225974657,-87.6970976291,"(41.9225974657, -87.6970976291)"
EUROPA GALLERIA INC,1299537,253902,6500,B,340 W SUPERIOR ST,60610,NEAR NORTH SIDE,8,42,17031081800,170310818002018,1173771.5733286294,1905338.2646616227,41.8956627719,-87.6372207150,"(41.8956627719, -87.637220715)"
EXTRA VALUE FOOD & LIQUOR,1823321,319024,5000,B,6257 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031670800,170316708002029,1166789.0790554823,1862992.5862200637,41.7796146658,-87.6640774893,"(41.7796146658, -87.6640774893)"
FAIRPLAY FINER FOOD,10940,86481,10001,A,2200 S WESTERN AVE,60608,LOWER WEST SIDE,31,25,17031841300,170318413002001,1160669.4256275660,1889318.1968219478,41.8519838396,-87.6857857042,"(41.8519838396, -87.6857857042)"
FAIRPLAY FINER FOODS INC,10949,86481,10001,A,4640 S HALSTED ST,60609,NEW CITY,61,11,17031842600,170318426002035,1171712.0048831540,1873969.4316081447,41.8096297680,-87.6457075651,"(41.809629768, -87.6457075651)"
FAIRPLAY FOODS INC,10947,86481,18500,A,2323 W 111TH ST,60643,MORGAN PARK,75,19,17031750500,170317505001002,1162749.7570969034,1830916.8666691575,41.6916792040,-87.6797791725,"(41.691679204, -87.6797791725)"
FAIRWAY FOOD,2031993,352796,3000,B,2900 E 79TH ST,60649,SOUTH SHORE,43,7,17031431301,170314313011010,1196899.7852594810,1853184.8169503284,41.7520053919,-87.5540154169,"(41.7520053919, -87.5540154169)"
FAMILY PRIDE,77270,22785,12500,A,10601 S PULASKI RD,60655,MOUNT GREENWOOD,74,19,17031740200,170317402002010,1151594.3062861143,1833996.4798339107,41.7003552742,-87.7205408964,"(41.7003552742, -87.7205408964)"
FARM SUPER MARKET,2017764,339512,3000,B,2255 W DEVON AVE,60659,WEST RIDGE,2,50,17031020901,170310209011002,1159880.4293296346,1942402.4226755444,41.9976669579,-87.6872134560,"(41.9976669579, -87.687213456)"
FIESTA SUPERMARCADO,1196305,221943,14500,A,3307 W 63RD ST,60629,CHICAGO LAWN,66,15,17031660500,170316605001002,1155383.1050709453,1862616.4850607007,41.7788185771,-87.7059035755,"(41.7788185771, -87.7059035755)"
FIRST CHOICE MARKET,1969290,342952,10000,A,3019 E 91ST ST,60617,SOUTH CHICAGO,46,10,17031461000,170314610001014,1197964.0966857816,1845167.1808781882,41.7299778712,-87.5503825944,"(41.7299778712, -87.5503825944)"
FIVE STAR CERTIFIED INC,7168,3771,5000,B,935 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,170317114002006,1171458.6183638687,1847102.1948860583,41.7359084057,-87.6474228803,"(41.7359084057, -87.6474228803)"
FOOD 4 LESS,1884255,251246,58000,A,4821 W NORTH AVE,60639,AUSTIN,25,37,17031250800,170312508001000,1143859.6919038594,1910159.1206884224,41.9095051477,-87.7469599363,"(41.9095051477, -87.7469599363)"
FOOD 4 LESS,1928152,251246,63506,A,112 W 87TH ST,60620,CHATHAM,44,21,17031842400,170318424002040,1176892.3652144854,1847318.0013730056,41.7363800456,-87.6275092190,"(41.7363800456, -87.627509219)"
Food 4 Less Midwest,1596210,251246,62000,A,7030 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,17,17031671500,170316715003031,1166858.4518661886,1857955.5014696810,41.7657907704,-87.6639668865,"(41.7657907704, -87.6639668865)"
FOOD 4 LESS MIDWEST #789,1272529,251246,64486,A,4620 S DAMEN AVE,60609,NEW CITY,61,12,17031610300,170316103003015,1163694.5483752063,1873920.7792331200,41.8096685280,-87.6751156964,"(41.809668528, -87.6751156964)"
FOOD BASKET,1682475,291625,2500,B,7205 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813001006,1172254.5642532066,1857047.1455825805,41.7631811950,-87.6442150210,"(41.763181195, -87.644215021)"
FOODSMART,46295,16644,3500,B,3415 W DIVERSEY AVE,60647,LOGAN SQUARE,22,35,17031220602,170312206025000,1153071.5212648480,1918367.8382003282,41.9318527752,-87.7129012497,"(41.9318527752, -87.7129012497)"
FOODSMART,1474028,272175,13800,A,2901 W ARMITAGE AVE,60647,LOGAN SQUARE,22,35,17031222500,170312225001004,1156800.3561696650,1913113.1123978498,41.9173585451,-87.6993410687,"(41.9173585451, -87.6993410687)"
FRESH BUY FOODS INC,23640,9535,26000,A,6319 S VERNON AVE,60637,WOODLAWN,42,20,17031420700,170314207005004,1180379.1641090557,1863120.5089949802,41.7796646515,-87.6142509361,"(41.7796646515, -87.6142509361)"
FRESH FARMS INTERNATIONAL,30144,12018,9500,B,2626 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206023013,1157511.1764635018,1942409.7931918474,41.9977359091,-87.6959288805,"(41.9977359091, -87.6959288805)"
FRESH MARKET PLACE,1382145,266140,20000,A,2600 N CENTRAL AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906022018,1138560.7434555728,1916734.9356128592,41.9276476796,-87.7662665211,"(41.9276476796, -87.7662665211)"
FRUTERIA EL MERCADO,21239,8832,5500,B,2759 S SPAULDING AVE,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001015,1154858.0081655954,1885248.0532689434,41.8409331636,-87.7072241769,"(41.8409331636, -87.7072241769)"
FURTERIA EL SERRANITO,2031979,352794,2500,B,1755 W 38TH ST,60609,MCKINLEY PARK,59,11,17031590700,170315907001015,1165040.1969612509,1879467.3770517910,41.8248606245,-87.6700230192,"(41.8248606245, -87.6700230192)"
GAYTAN GROCERY STORE,85044,81586,3500,B,2802 S KOLIN AVE,60623,SOUTH LAWNDALE,30,22,17031301801,170313018011003,1147806.7621309962,1884970.1252434761,41.8403086304,-87.7331070590,"(41.8403086304, -87.733107059)"
GEMELOS FOOD/ CHECK CASHING SERVICES,1045757,203580,6600,B,4300 S MOZART ST,60632,BRIGHTON PARK,58,14,17031580502,170315805023027,1158040.5491916377,1875978.4508346433,41.8154320010,-87.6957977900,"(41.815432001, -87.69579779)"
GENE'S SAUSAGE SHOP & DELI INC,1876,371,5000,B,5330 W BELMONT AVE,60641,PORTAGE PARK,15,38,17031151100,170311511002015,1140128.1635420570,1920795.5982101425,41.9387619658,-87.7604070714,"(41.9387619658, -87.7604070714)"
GENES SAUSAGE SHOP AT DELI MEYER,1922145,335302,6000,B,4746 N LINCOLN AVE,60625,LINCOLN SQUARE,4,47,17031040600,170310406003004,1159702.0574422998,1931499.8965466437,41.9677536575,-87.6881717161,"(41.9677536575, -87.6881717161)"
GILMART'S  FOOD & LIQUOR,22715,9350,10001,A,5044 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570300,170315703002016,1149831.6750960744,1870805.5673226255,41.8014000331,-87.7260437419,"(41.8014000331, -87.7260437419)"
GOLDMORE FOOD,34046,14804,2500,B,1949 W 51ST ST,60609,NEW CITY,61,16,17031611700,170316117003002,1164000.6811145658,1870810.7546570639,41.8011278091,-87.6740803441,"(41.8011278091, -87.6740803441)"
GRAND FOOD MARKET,1221783,223107,3952,B,5202 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191200,170311912002006,1141369.1955228336,1912898.1662680102,41.9170677465,-87.7560413324,"(41.9170677465, -87.7560413324)"
"GRAND PALACE SUPERMARKET, INC",49648,17200,3000,B,7131 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,170316910004006,1177563.5802857797,1857597.7057300939,41.7645736329,-87.6247399651,"(41.7645736329, -87.6247399651)"
"H & A FOOD MARKET, INC.",1379268,217567,2500,B,1007 W 63RD ST,60621,ENGLEWOOD,68,16,17031681000,170316810004004,1170635.7339171740,1863004.5892983438,41.7795645849,-87.6499748357,"(41.7795645849, -87.6499748357)"
H & Z GROCERY STORE,3166,2823,10001,A,3638 W WRIGHTWOOD AVE,60647,LOGAN SQUARE,22,35,17031220702,170312207024010,1151510.7377067850,1917078.3827088438,41.9283452514,-87.7186708995,"(41.9283452514, -87.7186708995)"
HALAL MEAT & GROCERY,55665,18191,2500,B,1414 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310106003008,1165598.6391106143,1942654.1537479472,41.9982373871,-87.6661711005,"(41.9982373871, -87.6661711005)"
HAPPY FOODS,1618660,294177,11000,A,6783 N NORTHWEST HWY,60631,EDISON PARK,9,41,17031090200,170310902004007,1124182.6943602774,1944613.8112047960,42.0043992612,-87.8184857554,"(42.0043992612, -87.8184857554)"
HAPPY FOODS,1618656,294177,11500,A,6415 N CENTRAL AVE,60646,FOREST GLEN,12,45,17031120200,170311202002015,1139158.1573933284,1942325.6373831013,41.9978600139,-87.7634457986,"(41.9978600139, -87.7634457986)"
HARBOR MARKET,44759,16473,4200,B,155 N HARBOR DR,60601,LOOP,32,42,17031320100,170313201004020,1179690.1829931990,1901410.3393839335,41.8847505385,-87.6156039565,"(41.8847505385, -87.6156039565)"
HAREER FOOD & LIQUOR,52337,17625,2500,B,5452 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001043,1171863.4145093353,1868478.6287951402,41.7945591033,-87.6453134277,"(41.7945591033, -87.6453134277)"
HARPER FOODS,57683,18537,3300,B,1455 E 57TH ST,60637,HYDE PARK,41,5,17031411100,170314111002000,1187084.0793031498,1867457.9945814053,41.7914105694,-87.5895326278,"(41.7914105694, -87.5895326278)"
HARVESTIME FOODS,43697,16317,8750,B,2632 W LAWRENCE AVE,60625,LINCOLN SQUARE,4,40,17031040201,170310402013015,1157798.3462350464,1931819.6590417097,41.9686702259,-87.6951627475,"(41.9686702259, -87.6951627475)"
Hegewisch Fruit Market Inc.,2020869,350864,7800,B,13209 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170315501006033,1199136.3596458067,1817923.2624218930,41.6551885903,-87.5469994185,"(41.6551885903, -87.5469994185)"
HILLTOP LIQUORS MART,788,148,3200,B,10259 S MICHIGAN AVE,60628,ROSELAND,49,9,17031490800,170314908005007,1179014.4573692612,1836719.3542895487,41.7072479748,-87.6200563640,"(41.7072479748, -87.620056364)"
HOA NOM CO,8425,62866,4200,B,1101 W ARGYLE ST,60640,UPTOWN,3,48,17031031200,170310312002002,1167937.1420556107,1933534.0560181707,41.9731612999,-87.6578331796,"(41.9731612999, -87.6578331796)"
HOLLYWOOD TOWER MKT,1858,62539,3000,B,5701 N SHERIDAN RD,60660,EDGEWATER,77,48,17031030604,170310306042001,1168645.9152298884,1938086.6689671478,41.9856384210,-87.6550943233,"(41.985638421, -87.6550943233)"
HONG KONG MARKET,1892499,64229,46300,A,520 W 24TH PL,60616,ARMOUR SQUARE,34,25,17031841100,170318411003017,1172894.1385008285,1888048.2113696104,41.8482371659,-87.6409555275,"(41.8482371659, -87.6409555275)"
"HYDE PARK PRODUCE, LTD",1884100,325993,10000,A,1226 E 53RD ST,60615,HYDE PARK,41,4,17031410700,170314107001003,1185427.7053456623,1870419.6697596246,41.7995768022,-87.5955129219,"(41.7995768022, -87.5955129219)"
IMPERIAL TOWER MARKET,22624,9323,6031,B,4250 N MARINE DR,60613,UPTOWN,3,46,17031031400,170310314001001,1170946.9174634116,1928768.9097340296,41.9600199540,-87.6469060276,"(41.960019954, -87.6469060276)"
INTERNATIONAL FOODS NW INC,1129,215,14000,A,4404 W FULLERTON AVE,60639,HERMOSA,20,31,17031200200,170312002003012,1146590.1362659943,1915632.3730053550,41.9244726356,-87.7367895050,"(41.9244726356, -87.736789505)"
INTERNATIONAL SUPERMARKET INC,16712,6917,7500,B,4556 S ASHLAND AVE,60609,NEW CITY,61,3,17031610400,170316104001000,1166403.2942998728,1874268.6180732348,41.8105656774,-87.6651705169,"(41.8105656774, -87.6651705169)"
J & A ORIENTAL FOOD MART,30859,8995,10001,A,5755 W FULLERTON AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913022003,1137381.6671338268,1915324.7737204060,41.9237993545,-87.7706332364,"(41.9237993545, -87.7706332364)"
J & J EUROPEAN DELI,21936,63361,3000,B,5960 W LAWRENCE AVE,60630,PORTAGE PARK,15,45,17031150401,170311504013000,1135539.5474557276,1931334.5392015586,41.9677648001,-87.7770202043,"(41.9677648001, -87.7770202043)"
J AND P FINER FOODS,1567,299,4500,B,3501 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160501,170311605012002,1152248.0645839960,1928979.6159147602,41.9609885935,-87.7156463163,"(41.9609885935, -87.7156463163)"
J K & S FOOD & LIQUOR,1000978,32337,3024,B,503 W 59TH ST,60621,ENGLEWOOD,68,20,17031834600,170318346002004,1173930.9306113910,1865754.8378243765,41.7870390747,-87.6378127282,"(41.7870390747, -87.6378127282)"
J R GROCERY STORE,5644,3466,10001,A,505 E 134TH ST,60827,RIVERDALE,54,9,17031540101,170315401011006,1182103.2655995083,1816525.0131739427,41.6517610645,-87.6093666123,"(41.6517610645, -87.6093666123)"
JAMAICA FOOD & LIQUOR INC,22679,9341,2500,B,4252 S COTTAGE GROVE AVE,60653,GRAND BOULEVARD,38,4,17031380100,170313801001032,1182280.5445406442,1876753.0926350122,41.8170297652,-87.6068579199,"(41.8170297652, -87.6068579199)"
JARDAN FOOD & LIQUOR,11226,5270,9500,B,317 E GARFIELD BLVD,60637,WASHINGTON PARK,40,3,17031400400,170314004001003,1179170.1946088122,1868452.9110248592,41.7943249341,-87.6185206053,"(41.7943249341, -87.6185206053)"
JERUSALEM LIQUORS,440,80,4500,B,3133 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005007,1154472.8354969018,1931680.1407224510,41.9683547002,-87.7073943249,"(41.9683547002, -87.7073943249)"
JEWEL FOOD  STORE # 3345,1142451,259,60271,A,1224 S WABASH AVE,60605,NEAR SOUTH SIDE,33,2,17031330100,170313301001004,1176924.0045922934,1894818.1979320475,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
JEWEL FOOD STORE,1953613,259,62603,A,11730 S MARSHFIELD AVE,60643,MORGAN PARK,75,34,17031750500,170317505004003,1167478.1619907953,1826818.2701945968,41.6803322053,-87.6625846787,"(41.6803322053, -87.6625846787)"
JEWEL FOOD STORE #3030,1000572,259,31951,A,7530 S STONY ISLAND AVE,60649,SOUTH SHORE,43,5,17031834200,170318342004016,1188080.6519611380,1855220.3186104626,41.7578056585,-87.5862682580,"(41.7578056585, -87.586268258)"
JEWEL FOOD STORE #3043,1144384,259,37641,A,443 E 34TH ST,60616,DOUGLAS,35,4,17031351000,170313510002003,1180118.1943590562,1882571.1097821312,41.8330447382,-87.6146113644,"(41.8330447382, -87.6146113644)"
JEWEL FOOD STORE #3057,1400,259,21785,A,6057 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318350001001,1161455.1198723740,1864207.6199238845,41.7830611377,-87.6835988697,"(41.7830611377, -87.6835988697)"
JEWEL FOOD STORE #3092,1411,259,10001,A,1655 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,170315103003000,1189107.7842074255,1842276.9269057242,41.7222631981,-87.5829176346,"(41.7222631981, -87.5829176346)"
JEWEL FOOD STORE #3114,1388,259,20860,A,3128 W 103RD ST,60655,MOUNT GREENWOOD,74,19,17031740100,170317401001002,1157251.3653392585,1836208.3927967614,41.7063128446,-87.6997671192,"(41.7063128446, -87.6997671192)"
JEWEL FOOD STORE #3139,1356,259,22295,A,3940 E 106TH ST,60617,EAST SIDE,52,10,17031520400,170315204001013,1204247.1335668955,1835323.1839602452,41.7028060951,-87.5277040116,"(41.7028060951, -87.5277040116)"
JEWEL FOOD STORE #3170,1366,259,30374,A,5320 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001001,1150568.1770999480,1868914.9517999740,41.7961975914,-87.7233918834,"(41.7961975914, -87.7233918834)"
JEWEL FOOD STORE #3176,1404,259,32294,A,9400 S ASHLAND AVE,60620,WASHINGTON HEIGHTS,73,21,17031730300,170317303001029,1167281.2951454776,1842343.8807126728,41.7229412182,-87.6628628713,"(41.7229412182, -87.6628628713)"
JEWEL FOOD STORE #3181,1368,259,30745,A,87 W 87TH ST,60620,CHATHAM,44,21,17031842400,170318424002071,1177054.4742752898,1847233.7240653532,41.7361451282,-87.6269178440,"(41.7361451282, -87.626917844)"
JEWEL FOOD STORE #3210,1333,259,23845,A,1210 N CLARK ST,60610,NEAR NORTH SIDE,8,42,17031080202,170310802021001,1175275.3228902228,1908485.4625083094,41.9042652283,-87.6316032946,"(41.9042652283, -87.6316032946)"
JEWEL FOOD STORE #3224,1144401,259,29299,A,6430 W IRVING PARK RD,60634,DUNNING,17,38,17031170100,170311701001008,1132667.4509821113,1925939.2398312732,41.9530102332,-87.7877071626,"(41.9530102332, -87.7877071626)"
JEWEL FOOD STORE #3241,1398,259,24262,A,1341 N PAULINA ST,60622,WEST TOWN,24,1,17031241500,170312415002012,1164854.8124137202,1909123.5444180893,41.9062437031,-87.6698622813,"(41.9062437031, -87.6698622813)"
JEWEL FOOD STORE #3282,1337,259,24922,A,4729 N CENTRAL AVE,60630,PORTAGE PARK,15,45,17031150300,170311503007003,1138185.4404146564,1930999.2249157797,41.9667971120,-87.7672994806,"(41.966797112, -87.7672994806)"
JEWEL FOOD STORE #3296,1392,259,29421,A,7342 W FOSTER AVE,60656,NORWOOD PARK,10,41,17031100500,170311005002003,1126189.3171740803,1933745.7768729986,41.9745429477,-87.8113468842,"(41.9745429477, -87.8113468842)"
JEWEL FOOD STORE #3302,1402,259,25431,A,3644 S ARCHER AVE,60609,MCKINLEY PARK,59,11,17031590500,170315905001037,1161644.3847891467,1880433.8107446910,41.8275838968,-87.6824544425,"(41.8275838968, -87.6824544425)"
JEWEL FOOD STORE #3344,1192905,259,63407,A,1220 S ASHLAND AVE,60608,NEAR WEST SIDE,28,2,17031842900,170318429004020,1165876.7323615912,1894558.4346967393,41.8662541761,-87.6665241401,"(41.8662541761, -87.6665241401)"
